smell,verdict,measure,injected_d,injected_lo,injected_hi,real_d,real_lo,real_hi,n_smelly,n_clean
deep_nesting,detects,cyclomatic,3.8536,3.385141210619504,4.322058789380496,5.0,,,136,1000
complex_conditional,detects,halstead_difficulty,1.4983,1.1846249334812216,1.8119750665187784,3.767,3.558780727289612,3.9752192727103877,223,1000
long_method,detects,halstead_difficulty,0.5447,0.26242090325998274,0.8269790967400172,3.508,3.340552518815017,3.675447481184983,472,1000
inefficient_copy,co-occurs,cognitive,0.1788,-0.09893914830603198,0.45653914830603193,2.578,2.3386500196726137,2.817349980327386,92,1000
duplicate_code,blind,sloc,1.0629,0.7667882296131407,1.3590117703868592,1.55,1.3790697484281051,1.720930251571895,179,1000
magic_number,co-occurs,maintainability,0.5368,0.25466628467877156,0.8189337153212286,1.427,1.277543971033083,1.5764560289669172,250,1000
inefficient_loop,co-occurs,cyclomatic,0.0,-0.27718585822512665,0.27718585822512665,1.374,1.234585715459467,1.5134142845405332,300,1000
perf_try_in_loop,co-occurs,api_calls,-0.0,-0.27718585822512665,0.27718585822512665,-1.295,-1.4332924519697112,-1.1567075480302886,300,1000
broad_except,co-occurs,maintainability,0.0994,-0.1779569739116722,0.3767569739116722,1.191,1.0921393642790327,1.2898606357209674,860,1000
long_parameter_list,blind,halstead_difficulty,0.0,-0.27718585822512665,0.27718585822512665,0.862,0.7691705495756089,0.954829450424391,950,1000
mutable_default,blind,comment_density,-0.0,-0.27718585822512665,0.27718585822512665,-0.987,-1.100816976709973,-0.8731830232900271,489,1000
dead_code,blind,api_calls,-0.0,-0.27718585822512665,0.27718585822512665,0.312,0.18944638545352843,0.43455361454647157,348,1000
