task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,perplexity,bleu,chrf,rouge_l,codebleu,ast_similarity,codebert_score,bertscore,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,canon_perplexity,n_output_tokens
HumanEval_0,humaneval,pass,0,,0,,0,7.000,4.000,95.214,28.529,1.500,42.794,6.000,0.000,3.000,2.399,24.230,42.614,50.980,32.081,58.716,80.978,92.499,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,2.468,165
HumanEval_1,humaneval,fail,1,magic_number,1,magic_number,0,14.000,5.000,79.259,31.020,2.000,62.039,7.000,7.143,3.000,2.220,35.370,50.551,46.154,22.265,69.231,86.082,94.363,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,3.479,107
HumanEval_2,humaneval,pass,0,,0,,0,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,1.000,7.033,13.135,62.458,50.000,33.948,55.556,76.575,87.923,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,7.243,91
HumanEval_3,humaneval,pass,0,,0,,0,8.000,3.000,71.886,13.932,1.333,18.575,3.000,0.000,0.000,3.325,72.424,88.939,86.667,83.673,100.000,98.930,99.177,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,4.921,54
HumanEval_4,humaneval,pass,0,,0,,0,7.000,3.000,92.331,36.541,1.500,54.812,1.000,0.000,3.000,3.431,60.929,81.755,71.429,60.670,85.417,91.940,93.400,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,3.654,163
HumanEval_5,humaneval,pass,0,,0,,0,8.000,3.000,100.000,2.000,0.500,1.000,2.000,0.000,1.000,2.953,37.713,57.851,65.000,37.988,74.000,91.242,94.777,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,2.692,128
HumanEval_6,humaneval,fail,1,magic_number,1,magic_number,0,11.000,4.000,65.848,36.000,2.400,86.400,4.000,0.000,1.000,2.142,28.785,47.513,39.437,18.421,69.643,84.884,92.162,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,3.885,85
HumanEval_7,humaneval,pass,0,,0,,0,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,2.968,38.827,74.601,70.000,72.057,100.000,97.007,97.841,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,2.973,105
HumanEval_8,humaneval,pass,0,,0,,0,9.000,3.000,71.325,11.610,1.000,11.610,2.000,0.000,1.000,1.978,7.978,31.456,30.435,28.983,70.270,84.475,92.183,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,2.430,75
HumanEval_9,humaneval,pass,1,dead_code,1,dead_code,0,10.000,3.000,100.000,2.000,0.500,1.000,2.000,0.000,2.000,2.630,14.241,36.947,41.935,21.293,75.248,82.978,92.194,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,2.998,158
HumanEval_10,humaneval,fail,0,,0,,0,11.000,5.000,83.674,68.114,2.750,187.314,4.000,18.182,2.000,3.093,100.000,100.000,100.000,100.000,100.000,100.000,100.000,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,3.175,222
HumanEval_11,humaneval,pass,1,dead_code,1,dead_code,0,6.000,5.000,96.060,4.755,0.500,2.377,0.000,50.000,4.000,2.798,12.516,28.352,19.355,23.947,41.071,82.431,82.216,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,3.013,168
HumanEval_12,humaneval,pass,0,,0,,0,11.000,4.000,69.289,11.610,1.000,11.610,4.000,0.000,1.000,1.755,22.582,51.901,46.154,38.347,66.667,88.455,93.143,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,2.695,78
HumanEval_13,humaneval,pass,0,,0,,0,6.000,2.000,98.928,13.932,1.333,18.575,1.000,0.000,0.000,2.011,75.086,85.955,94.737,81.460,94.118,96.936,97.303,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,2.065,101
