task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_430,mbpp,fail,0,,0,,0,3.000,1.000,77.244,55.507,2.222,123.348,0.000,0.000,0.000,69.911,81.035,96.774,48.872,89.552,3.000,1.000,77.340,53.774,1.667,89.624,0.000,0.000,1.000,53
HumanEval_61,humaneval,pass,1,magic_number,1,magic_number,0,10.000,5.000,88.263,59.795,4.000,239.179,6.000,0.000,0.000,39.486,47.563,60.465,57.772,93.023,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,217
mbpp_233,mbpp,pass,0,,0,,0,2.000,1.000,83.478,25.266,0.500,12.633,0.000,0.000,0.000,72.079,59.398,83.333,24.529,82.927,3.000,1.000,79.637,25.266,0.500,12.633,0.000,0.000,0.000,41
mbpp_490,mbpp,pass,0,,0,,0,7.000,3.000,76.420,4.755,0.500,2.377,3.000,0.000,4.000,44.410,59.847,59.375,26.771,61.157,4.000,4.000,77.992,15.510,1.000,15.510,0.000,0.000,1.000,85
mbpp_116,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,60.040,59.678,66.667,22.840,83.721,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,34
mbpp_43,mbpp,pass,0,,0,,0,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,68.354,85.294,89.796,47.705,100.000,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,80
mbpp_155,mbpp,fail,0,,0,,0,7.000,2.000,70.399,36.000,4.000,144.000,1.000,0.000,0.000,20.193,33.553,43.137,19.850,57.426,8.000,3.000,63.837,98.099,7.111,697.594,3.000,0.000,0.000,66
mbpp_358,mbpp,pass,0,,0,,0,2.000,1.000,84.716,4.755,0.500,2.377,0.000,0.000,2.000,76.998,80.993,81.250,46.094,80.702,3.000,1.000,81.991,4.755,0.500,2.377,0.000,0.000,2.000,49
HumanEval_103,humaneval,pass,0,,0,,0,7.000,2.000,85.684,58.810,4.583,269.547,1.000,0.000,4.000,37.070,40.412,48.889,31.233,63.717,7.000,3.000,84.946,71.699,4.643,332.889,2.000,0.000,3.000,241
mbpp_279,mbpp,pass,0,,0,,0,2.000,1.000,82.402,36.000,1.333,48.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,2.000,1.000,82.402,36.000,1.333,48.000,0.000,0.000,0.000,35
