task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_355,mbpp,pass,0,,0,,0,8.000,4.000,65.674,102.799,2.455,252.324,6.000,0.000,1.000,47.212,55.175,61.333,32.899,80.263,10.000,4.000,63.560,102.799,2.455,252.324,6.000,0.000,1.000,112
mbpp_288,mbpp,pass,0,,0,,0,6.000,3.000,71.291,41.513,2.286,94.887,3.000,0.000,1.000,44.263,46.868,77.778,41.520,94.000,6.000,3.000,71.291,41.513,2.286,94.887,3.000,0.000,1.000,69
mbpp_429,mbpp,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,2.000,61.479,68.569,71.429,29.666,89.231,3.000,2.000,84.582,4.755,0.500,2.377,0.000,0.000,2.000,56
mbpp_231,mbpp,pass,0,,0,,0,6.000,4.000,68.422,63.117,2.571,162.300,3.000,0.000,3.000,9.619,22.000,35.862,20.121,36.725,13.000,5.000,57.871,282.026,3.636,1025.550,8.000,0.000,2.000,114
mbpp_333,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,62.428,69.722,78.571,33.526,82.927,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,40
mbpp_138,mbpp,pass,0,,0,,0,2.000,2.000,82.100,38.039,2.000,76.078,1.000,0.000,0.000,60.786,58.294,62.500,35.729,70.270,5.000,2.000,76.147,15.510,1.000,15.510,2.000,0.000,0.000,46
HumanEval_87,humaneval,pass,1,inefficient_loop,1,inefficient_loop,0,8.000,5.000,74.886,4.755,0.500,2.377,3.000,0.000,3.000,18.557,30.084,31.884,16.747,17.333,3.000,4.000,52.140,4.755,0.500,2.377,0.000,0.000,3.000,97
mbpp_296,mbpp,pass,0,,0,,0,7.000,4.000,71.206,25.266,1.200,30.319,6.000,0.000,1.000,75.067,79.623,95.082,65.390,100.000,7.000,4.000,71.206,25.266,1.200,30.319,6.000,0.000,1.000,76
HumanEval_103,humaneval,pass,0,,0,,0,7.000,2.000,85.684,58.810,4.583,269.547,1.000,0.000,4.000,37.070,40.412,48.889,27.661,63.717,7.000,3.000,84.946,71.699,4.643,332.889,2.000,0.000,3.000,241
mbpp_250,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,24.555,37.702,50.000,11.539,40.000,6.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,0.000,27
