task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_119,mbpp,pass,0,,0,,0,4.000,3.000,81.722,4.755,0.500,2.377,3.000,0.000,1.000,26.058,37.865,50.000,10.236,56.140,5.000,2.000,79.742,4.755,0.500,2.377,1.000,0.000,1.000,41
mbpp_168,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,10.934,37.499,40.000,11.394,42.857,5.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,0.000,27
HumanEval_157,humaneval,pass,0,,0,,0,3.000,1.000,77.572,49.829,2.143,106.776,0.000,0.000,1.000,9.254,16.414,33.333,19.593,54.701,2.000,3.000,45.023,218.512,3.667,801.211,1.000,0.000,0.000,64
HumanEval_30,humaneval,pass,0,,0,,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,0.000,24.808,46.285,66.667,57.359,100.000,2.000,3.000,71.799,4.755,0.500,2.377,0.000,0.000,0.000,32
mbpp_277,mbpp,pass,0,,0,,0,2.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,1.000,34.401,47.268,50.000,32.863,88.889,3.000,3.000,81.722,4.755,0.500,2.377,0.000,0.000,1.000,44
mbpp_295,mbpp,pass,0,,0,,0,2.000,3.000,84.693,15.510,1.000,15.510,0.000,0.000,2.000,22.932,32.855,51.282,13.916,63.889,6.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,3.000,39
mbpp_13,mbpp,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,42.003,64.831,72.222,38.188,61.905,5.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,37
mbpp_99,mbpp,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,56.175,69.900,84.211,51.643,75.862,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,31
mbpp_128,mbpp,pass,0,,0,,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,2.000,17.635,33.391,43.902,19.328,64.789,7.000,3.000,76.420,4.755,0.500,2.377,3.000,0.000,3.000,36
mbpp_310,mbpp,pass,1,magic_number,1,magic_number,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,1.000,26.217,40.706,50.000,10.049,69.388,3.000,3.000,87.081,2.000,0.500,1.000,0.000,0.000,2.000,37
mbpp_378,mbpp,pass,0,,0,,0,2.000,1.000,80.979,16.253,1.333,21.671,0.000,0.000,0.000,20.303,29.088,40.000,24.960,80.769,3.000,1.000,78.253,16.253,1.333,21.671,0.000,0.000,0.000,31
mbpp_47,mbpp,pass,0,,0,,0,5.000,2.000,72.475,51.891,1.875,97.297,1.000,0.000,1.000,28.089,38.306,64.407,39.399,78.182,10.000,4.000,63.410,108.000,5.400,583.200,5.000,0.000,1.000,66
mbpp_320,mbpp,pass,0,,0,,0,2.000,2.000,81.155,51.891,2.857,148.261,0.000,0.000,2.000,35.858,28.215,42.553,18.585,36.364,8.000,2.000,67.467,62.270,3.429,213.496,1.000,0.000,1.000,51
mbpp_36,mbpp,pass,0,,0,,0,5.000,2.000,71.920,62.270,3.429,213.496,1.000,0.000,1.000,39.033,46.704,63.636,19.360,47.727,7.000,2.000,69.287,51.891,4.167,216.214,1.000,0.000,0.000,66
HumanEval_121,humaneval,pass,0,,0,,0,2.000,4.000,80.778,53.774,1.667,89.624,1.000,0.000,2.000,66.670,74.455,88.235,71.046,97.368,2.000,4.000,64.288,53.774,1.667,89.624,1.000,0.000,2.000,54
mbpp_34,mbpp,fail,0,,0,,0,2.000,2.000,78.081,142.624,3.667,522.953,1.000,0.000,1.000,8.285,24.125,30.137,11.126,37.500,13.000,5.000,58.974,196.215,8.286,1625.781,6.000,0.000,1.000,200
mbpp_268,mbpp,pass,0,,0,,0,2.000,1.000,82.234,38.039,2.000,76.078,0.000,0.000,0.000,84.163,88.393,100.000,70.647,100.000,2.000,1.000,82.234,38.039,2.000,76.078,0.000,0.000,0.000,34
