task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
mbpp_43,mbpp,fail,0,,0,,0,19.000,6.000,71.601,24.000,1.500,36.000,6.000,42.105,6.000,7.507,27.618,16.800,35.643,39.316,7.000,2.000,100.000,0.000,0.000,0.000,2.000,0.000,1.000,664
mbpp_108,mbpp,pass,0,,0,,0,34.000,10.000,78.231,34.869,1.750,61.021,12.000,29.412,11.000,2.378,14.441,6.420,35.446,21.961,7.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,1058
mbpp_112,mbpp,pass,0,,0,,0,17.000,13.000,57.163,204.460,5.895,1205.239,12.000,29.412,5.000,2.328,11.981,4.255,39.445,12.556,2.000,1.000,84.962,15.510,1.000,15.510,0.000,0.000,0.000,858
mbpp_428,mbpp,pass,0,,0,,0,23.000,9.000,66.635,171.895,6.667,1145.969,11.000,39.130,5.000,10.878,26.449,18.681,46.152,67.093,12.000,5.000,61.698,102.799,5.000,513.993,7.000,0.000,2.000,813
mbpp_349,mbpp,pass,0,,0,,0,10.000,5.000,54.298,24.000,1.500,36.000,5.000,50.000,4.000,4.331,18.630,13.402,18.404,47.170,7.000,4.000,69.719,41.209,1.286,52.983,3.000,0.000,1.000,435
mbpp_96,mbpp,pass,0,,0,,0,17.000,8.000,56.696,135.934,6.125,832.594,10.000,47.059,8.000,3.816,11.772,10.309,24.978,44.571,4.000,4.000,76.866,22.459,1.875,42.110,1.000,0.000,2.000,701
mbpp_140,mbpp,pass,0,,0,,0,22.000,10.000,74.102,43.185,1.714,74.032,16.000,18.182,6.000,4.758,24.414,11.604,29.456,54.144,9.000,4.000,71.190,11.610,1.000,11.610,6.000,0.000,3.000,707
mbpp_68,mbpp,pass,0,,0,,0,15.000,10.000,60.815,135.707,5.067,687.581,10.000,40.000,5.000,7.264,17.353,14.062,34.755,48.000,3.000,4.000,79.493,82.045,3.500,287.156,1.000,0.000,3.000,628
mbpp_168,mbpp,pass,2,broad_except;perf_try_in_loop,2,broad_except;perf_try_in_loop,0,17.000,8.000,80.693,62.907,2.444,153.774,9.000,23.529,3.000,2.990,18.484,12.973,38.264,49.573,5.000,3.000,74.285,15.510,1.000,15.510,3.000,0.000,0.000,465
mbpp_15,mbpp,fail,0,,0,,0,10.000,5.000,58.450,18.095,1.000,18.095,3.000,50.000,7.000,5.321,20.082,12.227,51.367,32.258,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,568
mbpp_427,mbpp,pass,1,dead_code,1,dead_code,0,25.000,5.000,87.255,25.266,1.000,25.266,4.000,28.000,9.000,4.816,14.998,8.850,38.862,16.043,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,869
mbpp_50,mbpp,pass,0,,0,,0,12.000,5.000,74.863,18.095,1.000,18.095,5.000,41.667,7.000,7.762,30.115,16.197,28.886,52.482,4.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,617
mbpp_258,mbpp,pass,0,,0,,0,19.000,6.000,73.641,44.973,2.286,102.795,7.000,26.316,8.000,4.918,19.300,10.036,25.807,26.136,3.000,1.000,78.396,15.510,1.000,15.510,0.000,0.000,3.000,664
mbpp_380,mbpp,pass,0,,0,,0,20.000,12.000,75.665,83.762,3.889,325.740,9.000,40.000,6.000,5.954,26.697,14.414,27.384,34.568,6.000,5.000,77.612,4.755,0.500,2.377,3.000,0.000,1.000,795
mbpp_260,mbpp,fail,1,magic_number,1,magic_number,0,18.000,7.000,54.246,71.699,4.643,332.889,6.000,44.444,5.000,4.368,17.438,9.846,32.150,34.320,4.000,3.000,73.139,79.954,3.889,310.934,3.000,0.000,1.000,832
mbpp_39,mbpp,pass,0,,0,,0,32.000,11.000,73.150,157.891,6.188,976.951,11.000,46.875,14.000,7.684,28.156,13.836,31.004,52.928,16.000,7.000,56.891,129.268,3.846,497.183,7.000,0.000,8.000,999
HumanEval_25,humaneval,pass,0,,0,,0,22.000,9.000,79.125,182.837,11.250,2056.913,9.000,31.818,5.000,6.653,27.976,20.000,30.151,52.586,14.000,4.000,89.335,77.709,6.000,466.255,5.000,0.000,3.000,637
mbpp_331,mbpp,pass,0,,0,,0,13.000,5.000,53.386,34.869,2.800,97.634,4.000,53.846,8.000,3.520,12.528,10.909,10.333,46.897,8.000,3.000,67.225,64.529,4.286,276.554,3.000,0.000,0.000,637
HumanEval_136,humaneval,pass,0,,0,,0,17.000,9.000,87.728,28.074,2.250,63.165,11.000,35.294,6.000,1.847,29.004,18.644,23.140,43.750,4.000,3.000,69.680,12.000,2.000,24.000,2.000,0.000,4.000,585
HumanEval_53,humaneval,pass,0,,0,,0,12.000,5.000,64.679,31.699,1.500,47.549,4.000,58.333,3.000,1.044,6.458,5.556,44.513,12.844,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,571
mbpp_287,mbpp,pass,0,,0,,0,12.000,6.000,63.690,95.908,4.773,457.744,5.000,41.667,4.000,5.507,14.366,10.000,36.239,35.593,2.000,1.000,80.062,77.709,2.100,163.189,0.000,0.000,1.000,580
