task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_0,humaneval,pass,0,,0,,0,7.000,4.000,95.214,28.529,1.500,42.794,6.000,0.000,3.000,24.230,42.614,50.980,32.081,58.716,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,262
HumanEval_1,humaneval,pass,1,magic_number,1,magic_number,0,15.000,5.000,60.029,72.648,2.625,190.701,7.000,0.000,4.000,30.278,41.757,39.080,22.896,67.027,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,233
HumanEval_2,humaneval,pass,1,magic_number,1,magic_number,0,10.000,5.000,91.005,62.907,3.438,216.244,4.000,20.000,3.000,0.632,12.986,8.333,27.784,15.152,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,311
HumanEval_3,humaneval,pass,0,,0,,0,8.000,3.000,99.944,13.932,1.333,18.575,3.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,200
HumanEval_4,humaneval,pass,0,,0,,0,6.000,3.000,90.128,36.541,1.500,54.812,1.000,0.000,4.000,70.091,87.766,76.190,80.318,89.362,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,275
HumanEval_5,humaneval,pass,0,,0,,0,8.000,3.000,100.000,2.000,0.500,1.000,2.000,0.000,1.000,37.713,57.851,65.000,37.988,74.000,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,251
HumanEval_6,humaneval,pass,1,magic_number,1,magic_number,0,15.000,6.000,89.295,49.829,3.333,166.096,11.000,0.000,2.000,24.305,32.416,32.500,18.192,64.706,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,293
HumanEval_7,humaneval,pass,0,,0,,0,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,38.827,68.499,70.000,72.057,100.000,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,177
HumanEval_8,humaneval,pass,0,,0,,0,9.000,3.000,97.540,11.610,1.000,11.610,2.000,0.000,1.000,14.018,33.945,32.558,28.983,70.270,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,217
HumanEval_9,humaneval,pass,1,dead_code,1,dead_code,0,11.000,4.000,97.264,11.610,1.000,11.610,4.000,0.000,1.000,11.964,35.785,44.828,20.251,71.845,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,277
HumanEval_10,humaneval,pass,0,,0,,0,9.000,5.000,91.300,58.810,2.857,168.030,4.000,0.000,3.000,100.000,100.000,100.000,100.000,100.000,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,319
HumanEval_11,humaneval,pass,1,dead_code,1,dead_code,0,8.000,3.000,94.233,28.529,1.500,42.794,2.000,37.500,5.000,3.329,17.882,18.182,17.129,28.037,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,265
HumanEval_12,humaneval,pass,0,,0,,0,5.000,2.000,95.192,2.000,0.500,1.000,1.000,0.000,1.000,9.485,38.390,48.485,15.670,50.000,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,187
HumanEval_13,humaneval,pass,0,,0,,0,8.000,6.000,92.121,85.952,3.500,300.831,5.000,0.000,2.000,20.654,38.105,35.294,55.132,48.421,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,265
HumanEval_14,humaneval,pass,0,,0,,0,3.000,2.000,99.651,4.755,0.500,2.377,0.000,0.000,2.000,48.341,50.854,48.000,17.047,42.623,6.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,3.000,209
HumanEval_15,humaneval,pass,0,,0,,0,4.000,4.000,89.874,36.541,2.333,85.263,2.000,0.000,5.000,24.225,46.496,43.243,35.831,64.706,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,202
HumanEval_16,humaneval,pass,0,,0,,0,4.000,2.000,98.978,2.000,0.500,1.000,1.000,0.000,5.000,36.660,67.876,45.455,56.028,63.415,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,197
HumanEval_17,humaneval,pass,1,magic_number,1,magic_number,0,12.000,5.000,93.533,20.897,0.750,15.673,5.000,0.000,2.000,20.629,37.400,29.787,10.968,24.176,4.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,323
HumanEval_18,humaneval,pass,0,,0,,0,8.000,5.000,90.473,89.924,2.917,262.279,5.000,0.000,2.000,73.151,80.074,73.077,68.639,89.431,6.000,3.000,88.953,53.774,1.667,89.624,3.000,0.000,2.000,231
HumanEval_19,humaneval,pass,1,dead_code,1,dead_code,0,7.000,1.000,100.000,0.000,0.000,0.000,0.000,57.143,3.000,15.016,43.475,37.143,23.697,52.830,15.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,320
HumanEval_20,humaneval,fail,1,magic_number,1,magic_number,0,13.000,5.000,92.198,41.513,1.500,62.270,7.000,0.000,4.000,5.662,21.385,16.514,16.080,55.300,16.000,6.000,88.998,51.891,2.857,148.261,16.000,0.000,4.000,366
HumanEval_21,humaneval,fail,1,magic_number,1,magic_number,4,11.000,3.000,90.521,59.207,2.222,131.571,1.000,45.455,6.000,43.530,57.987,55.556,53.334,84.444,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,460
HumanEval_22,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,45.788,68.385,70.000,57.311,100.000,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,197
HumanEval_23,humaneval,pass,0,,0,,0,4.000,2.000,98.978,2.000,0.500,1.000,1.000,0.000,3.000,15.415,53.050,33.333,52.556,48.276,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,135
HumanEval_24,humaneval,fail,0,,0,,6,12.000,4.000,89.738,55.351,4.167,230.629,4.000,58.333,4.000,35.793,54.049,59.459,45.778,67.692,4.000,3.000,100.000,15.510,1.000,15.510,3.000,0.000,2.000,231
HumanEval_25,humaneval,pass,0,,0,,0,10.000,3.000,90.636,49.829,5.000,249.145,3.000,0.000,1.000,13.039,30.168,42.308,22.839,69.291,14.000,4.000,89.335,77.709,6.000,466.255,5.000,0.000,3.000,269
HumanEval_26,humaneval,fail,0,,0,,0,9.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,3.000,4.052,25.713,22.222,18.810,37.838,5.000,3.000,100.000,4.755,0.500,2.377,0.000,0.000,1.000,227
HumanEval_27,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,100.000,100.000,100.000,65.811,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,111
HumanEval_28,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,100.000,100.000,100.000,65.811,100.000,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,145
HumanEval_29,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,45.788,75.418,70.000,58.153,100.000,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,180
HumanEval_30,humaneval,pass,0,,0,,2,4.000,3.000,74.020,41.209,1.000,41.209,0.000,75.000,2.000,24.808,46.285,66.667,57.359,100.000,2.000,3.000,71.799,4.755,0.500,2.377,0.000,0.000,0.000,244
HumanEval_31,humaneval,pass,1,magic_number,1,magic_number,7,20.000,8.000,81.290,217.131,5.647,1226.151,8.000,5.000,2.000,14.385,47.539,42.623,33.744,46.281,7.000,4.000,68.815,39.863,2.667,106.302,4.000,0.000,1.000,285
HumanEval_32,humaneval,fail,0,,0,,0,9.000,9.000,63.101,199.177,6.075,1210.002,1.000,44.444,11.000,100.000,100.000,100.000,100.000,100.000,15.000,6.000,82.771,156.080,4.312,673.095,5.000,0.000,4.000,563
HumanEval_33,humaneval,fail,0,,0,,0,7.000,5.000,92.309,33.688,1.600,53.901,3.000,0.000,5.000,4.671,23.719,26.923,20.453,38.182,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,320
HumanEval_34,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,57.794,70.323,88.889,45.486,86.957,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,134
HumanEval_35,humaneval,pass,0,,0,,0,8.000,4.000,99.702,11.610,1.000,11.610,4.000,0.000,1.000,18.710,36.448,35.000,52.899,85.294,6.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,211
HumanEval_36,humaneval,pass,0,,0,,0,6.000,4.000,88.081,68.532,2.400,164.478,4.000,0.000,3.000,33.768,38.748,56.140,29.912,70.312,10.000,5.000,91.217,84.000,2.333,196.000,5.000,0.000,5.000,240
HumanEval_37,humaneval,pass,0,,0,,0,7.000,3.000,100.000,0.000,0.000,0.000,1.000,0.000,5.000,8.164,24.929,25.714,17.129,58.228,10.000,3.000,95.922,11.610,1.000,11.610,2.000,0.000,5.000,293
HumanEval_38,humaneval,pass,1,magic_number,1,magic_number,0,8.000,8.000,79.260,210.908,3.947,832.533,2.000,50.000,4.000,100.000,100.000,100.000,100.000,100.000,6.000,5.000,84.320,77.709,3.111,241.762,1.000,33.333,5.000,427
HumanEval_39,humaneval,fail,1,magic_number,1,magic_number,0,20.000,4.000,81.986,103.726,3.429,355.633,20.000,0.000,4.000,20.748,44.125,40.580,27.597,54.400,16.000,4.000,85.643,135.934,4.615,627.386,16.000,0.000,6.000,434
HumanEval_40,humaneval,pass,0,,0,,0,10.000,4.000,82.405,36.541,1.500,54.812,6.000,0.000,4.000,41.799,52.021,52.941,34.637,63.158,7.000,5.000,70.781,51.891,1.111,57.657,10.000,0.000,2.000,362
