task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_0,humaneval,pass,0,,0,,0,7.000,4.000,70.837,28.529,1.500,42.794,6.000,0.000,3.000,24.230,42.614,50.980,32.081,58.716,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,68
HumanEval_1,humaneval,fail,1,magic_number,1,magic_number,0,14.000,5.000,79.259,31.020,2.000,62.039,7.000,7.143,3.000,35.370,50.551,46.154,22.265,69.231,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,107
HumanEval_2,humaneval,pass,0,,0,,0,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,1.000,13.135,62.458,50.000,33.948,55.556,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,91
HumanEval_3,humaneval,pass,0,,0,,0,8.000,3.000,71.886,13.932,1.333,18.575,3.000,0.000,0.000,72.424,88.939,86.667,83.673,100.000,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,54
HumanEval_4,humaneval,pass,0,,0,,0,7.000,3.000,92.331,36.541,1.500,54.812,1.000,0.000,3.000,73.228,89.990,75.000,71.547,85.417,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,161
HumanEval_5,humaneval,fail,0,,0,,0,3.000,4.000,77.724,41.513,1.500,62.270,0.000,0.000,2.000,4.100,30.024,30.435,15.853,40.708,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,72
HumanEval_6,humaneval,fail,1,magic_number,1,magic_number,0,15.000,7.000,74.632,89.858,5.000,449.292,9.000,6.667,1.000,28.132,43.303,43.678,21.140,68.571,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,132
HumanEval_7,humaneval,pass,0,,0,,0,3.000,3.000,84.447,4.755,0.500,2.377,0.000,0.000,0.000,38.827,74.601,70.000,72.057,100.000,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,41
HumanEval_8,humaneval,pass,0,,0,,0,9.000,3.000,71.325,11.610,1.000,11.610,2.000,0.000,1.000,7.978,31.456,30.435,28.983,70.270,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,75
HumanEval_9,humaneval,pass,1,dead_code,1,dead_code,0,9.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,2.000,21.979,38.303,47.273,30.577,84.091,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,146
HumanEval_10,humaneval,pass,0,,0,,3,10.000,4.000,80.687,31.699,1.500,47.549,3.000,40.000,5.000,100.000,100.000,100.000,100.000,100.000,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,221
HumanEval_11,humaneval,pass,1,dead_code,1,dead_code,0,3.000,2.000,95.009,4.755,0.500,2.377,0.000,0.000,4.000,39.506,42.986,57.895,28.124,70.886,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,103
HumanEval_12,humaneval,pass,0,,0,,0,11.000,4.000,69.289,11.610,1.000,11.610,4.000,0.000,1.000,22.582,51.901,46.154,38.347,66.667,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,78
HumanEval_13,humaneval,pass,0,,0,,0,4.000,2.000,93.076,13.932,1.333,18.575,1.000,0.000,0.000,75.086,85.955,94.737,81.460,94.118,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,93
HumanEval_14,humaneval,pass,0,,0,,0,3.000,2.000,81.856,4.755,0.500,2.377,0.000,0.000,2.000,35.178,45.786,56.000,12.928,49.180,6.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,3.000,41
HumanEval_15,humaneval,pass,0,,0,,0,2.000,1.000,88.557,4.755,0.500,2.377,0.000,0.000,3.000,45.535,57.177,70.588,38.192,90.476,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,29
HumanEval_16,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,100.000,100.000,100.000,65.811,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,24
HumanEval_17,humaneval,pass,1,magic_number,1,magic_number,0,3.000,4.000,61.275,12.000,0.667,8.000,3.000,0.000,1.000,17.881,41.275,48.649,11.048,46.429,4.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,201
HumanEval_18,humaneval,pass,0,,0,,0,10.000,3.000,67.352,30.881,2.625,81.062,3.000,0.000,1.000,9.023,25.780,27.907,16.375,56.000,6.000,3.000,88.953,53.774,1.667,89.624,3.000,0.000,2.000,72
HumanEval_19,humaneval,fail,1,dead_code,1,dead_code,0,10.000,3.000,100.000,0.000,0.000,0.000,0.000,30.000,4.000,50.547,64.354,53.933,66.787,69.291,15.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,252
HumanEval_20,humaneval,pass,0,,0,,0,11.000,3.000,64.994,49.829,2.143,106.776,3.000,0.000,4.000,13.923,27.846,27.368,14.012,39.604,16.000,6.000,88.998,51.891,2.857,148.261,16.000,0.000,4.000,104
HumanEval_21,humaneval,pass,0,,0,,0,5.000,2.000,74.663,25.266,1.200,30.319,0.000,0.000,2.000,66.159,60.314,75.000,69.436,100.000,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,59
HumanEval_22,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,45.788,68.385,70.000,57.311,100.000,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,39
HumanEval_23,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,100.000,100.000,100.000,65.811,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,47
HumanEval_24,humaneval,pass,0,,0,,0,5.000,3.000,73.549,34.869,2.800,97.634,3.000,0.000,1.000,53.393,63.097,78.571,53.472,78.571,4.000,3.000,100.000,15.510,1.000,15.510,3.000,0.000,2.000,49
HumanEval_25,humaneval,pass,0,,0,,0,10.000,3.000,90.636,49.829,5.000,249.145,3.000,0.000,1.000,17.264,31.376,39.216,24.867,74.194,14.000,4.000,89.335,77.709,6.000,466.255,5.000,0.000,3.000,174
HumanEval_26,humaneval,fail,0,,0,,0,9.000,3.000,74.039,4.755,0.500,2.377,3.000,0.000,3.000,4.052,25.713,22.222,18.810,37.838,5.000,3.000,100.000,4.755,0.500,2.377,0.000,0.000,1.000,58
HumanEval_27,humaneval,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,15.845,63.566,36.364,45.268,58.333,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,28
HumanEval_28,humaneval,pass,0,,0,,0,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,100.000,100.000,100.000,65.811,100.000,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,62
HumanEval_29,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,45.788,75.418,70.000,58.153,100.000,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,40
HumanEval_30,humaneval,pass,0,,0,,0,2.000,3.000,88.288,4.755,0.500,2.377,0.000,0.000,0.000,24.808,46.285,66.667,57.359,100.000,2.000,3.000,71.799,4.755,0.500,2.377,0.000,0.000,0.000,26
HumanEval_31,humaneval,pass,0,,0,,0,7.000,4.000,67.905,53.774,3.571,192.052,4.000,0.000,2.000,48.717,74.040,79.070,52.719,86.842,7.000,4.000,68.815,39.863,2.667,106.302,4.000,0.000,1.000,152
HumanEval_32,humaneval,timeout,2,dead_code;magic_number,2,dead_code;magic_number,0,16.000,6.000,82.983,89.206,3.231,288.206,4.000,12.500,9.000,100.000,100.000,100.000,100.000,100.000,15.000,6.000,82.771,156.080,4.312,673.095,5.000,0.000,4.000,381
