task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_0,humaneval,fail,0,,0,,0,2.000,2.000,84.828,15.510,1.000,15.510,0.000,0.000,3.000,3.245,19.559,15.385,8.798,29.885,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,42
HumanEval_1,humaneval,fail,0,,0,,1,1.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,0.923,10.197,12.000,28.889,,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,19
HumanEval_2,humaneval,fail,0,,0,,1,1.000,1.000,95.124,4.755,0.500,2.377,0.000,0.000,1.000,13.135,62.458,50.000,33.948,,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,11
HumanEval_3,humaneval,fail,0,,0,,1,1.000,1.000,95.124,4.755,0.500,2.377,0.000,0.000,1.000,2.114,19.889,21.053,25.427,,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,14
HumanEval_4,humaneval,pass,0,,0,,0,3.000,2.000,79.301,27.000,1.000,27.000,0.000,0.000,3.000,79.640,83.774,66.667,45.896,68.354,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,45
HumanEval_5,humaneval,fail,0,,0,,0,1.000,1.000,85.289,13.932,0.500,6.966,0.000,0.000,0.000,3.402,22.128,34.483,3.842,40.000,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,40
HumanEval_6,humaneval,fail,0,,0,,0,1.000,,,,,,,0.000,,7.225,24.023,30.000,6.944,,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,30
HumanEval_7,humaneval,pass,0,,0,,1,1.000,1.000,88.288,4.755,0.500,2.377,0.000,0.000,0.000,18.185,53.008,48.000,46.930,,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,26
HumanEval_8,humaneval,fail,0,,0,,1,1.000,1.000,100.000,0.000,0.000,0.000,1.000,0.000,2.000,2.717,21.553,19.355,2.596,,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,21
HumanEval_9,humaneval,fail,0,,0,,0,1.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,3.000,1.593,12.527,20.000,4.591,43.243,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,33
HumanEval_10,humaneval,pass,0,,0,,0,5.000,3.000,72.279,30.000,1.800,54.000,3.000,0.000,2.000,14.166,52.653,34.783,26.554,34.286,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,52
HumanEval_11,humaneval,pass,0,,0,,0,2.000,2.000,88.423,4.755,0.500,2.377,0.000,0.000,4.000,39.506,42.986,57.895,28.124,70.886,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,41
HumanEval_12,humaneval,fail,0,,0,,0,4.000,2.000,84.490,2.000,0.500,1.000,1.000,0.000,1.000,9.485,38.390,48.485,15.670,50.000,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,33
HumanEval_13,humaneval,fail,0,,0,,1,1.000,1.000,91.721,13.932,1.333,18.575,1.000,0.000,1.000,6.632,21.283,47.619,14.909,,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,23
