task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_0,humaneval,pass,0,,0,,0,7.000,3.000,80.841,39.863,1.714,68.337,3.000,42.857,4.000,19.526,40.030,42.308,28.559,54.206,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,199
HumanEval_1,humaneval,pass,1,magic_number,1,magic_number,0,17.000,5.000,88.218,69.760,3.000,209.281,7.000,5.882,2.000,44.376,56.562,60.241,26.582,75.740,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,223
HumanEval_2,humaneval,pass,0,,0,,0,4.000,3.000,79.537,36.541,2.333,85.263,2.000,0.000,3.000,2.246,27.566,15.385,30.184,25.000,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,120
HumanEval_3,humaneval,pass,0,,0,,0,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,44.120,78.007,78.788,69.604,100.000,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,153
HumanEval_4,humaneval,pass,0,,0,,0,8.000,3.000,84.440,36.541,1.500,54.812,1.000,37.500,4.000,24.564,53.842,43.137,39.443,36.538,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,213
HumanEval_5,humaneval,pass,0,,0,,0,8.000,3.000,95.774,2.000,0.500,1.000,2.000,37.500,1.000,37.713,57.851,65.000,37.988,74.000,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,268
HumanEval_6,humaneval,fail,1,magic_number,1,magic_number,0,13.000,4.000,92.415,36.000,2.400,86.400,4.000,0.000,2.000,39.407,52.725,51.282,33.227,74.603,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,184
HumanEval_7,humaneval,pass,1,inefficient_loop,1,inefficient_loop,0,7.000,3.000,84.293,4.755,0.500,2.377,3.000,71.429,1.000,7.240,44.601,44.444,22.173,57.778,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,195
HumanEval_8,humaneval,pass,0,,0,,0,9.000,3.000,98.609,11.610,1.000,11.610,2.000,0.000,1.000,7.978,31.456,30.435,28.983,70.270,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,158
HumanEval_9,humaneval,pass,1,dead_code,1,dead_code,0,11.000,4.000,97.606,11.610,1.000,11.610,4.000,0.000,1.000,4.984,33.263,31.884,19.436,71.845,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,151
HumanEval_10,humaneval,fail,0,,0,,0,11.000,5.000,79.682,68.114,2.750,187.314,4.000,36.364,2.000,100.000,100.000,100.000,100.000,100.000,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,250
HumanEval_11,humaneval,pass,1,dead_code,1,dead_code,0,8.000,7.000,88.469,83.399,3.250,271.045,4.000,37.500,6.000,7.541,27.802,23.077,19.974,28.369,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,202
HumanEval_12,humaneval,pass,0,,0,,0,11.000,4.000,95.341,11.610,1.000,11.610,4.000,36.364,1.000,15.562,46.788,45.614,34.540,68.627,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,296
HumanEval_13,humaneval,pass,0,,0,,0,8.000,4.000,90.581,47.549,4.000,190.196,3.000,25.000,1.000,36.957,69.736,62.069,66.157,63.889,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,143
HumanEval_14,humaneval,pass,1,inefficient_loop,1,inefficient_loop,0,8.000,3.000,99.403,11.610,1.000,11.610,2.000,0.000,3.000,45.024,59.458,60.606,39.495,81.481,6.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,3.000,96
HumanEval_15,humaneval,pass,0,,0,,0,6.000,3.000,94.667,22.459,1.875,42.110,2.000,0.000,5.000,17.502,36.406,29.268,21.862,44.118,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,127
HumanEval_16,humaneval,pass,0,,0,,2,6.000,1.000,100.000,0.000,0.000,0.000,0.000,100.000,5.000,20.803,55.486,22.222,38.275,38.889,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,170
HumanEval_17,humaneval,fail,1,magic_number,1,magic_number,0,13.000,5.000,85.481,20.897,0.750,15.673,6.000,46.154,2.000,9.888,28.191,25.455,32.328,32.258,4.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,334
HumanEval_18,humaneval,pass,0,,0,,0,12.000,5.000,90.771,66.608,3.438,228.965,5.000,8.333,1.000,9.407,33.839,23.529,18.885,49.558,6.000,3.000,88.953,53.774,1.667,89.624,3.000,0.000,2.000,173
HumanEval_19,humaneval,fail,1,dead_code,1,dead_code,0,11.000,3.000,100.000,0.000,0.000,0.000,0.000,54.545,4.000,45.775,66.329,48.421,63.669,57.353,15.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,304
HumanEval_20,humaneval,pass,1,magic_number,1,magic_number,0,13.000,4.000,85.603,79.954,1.909,152.640,4.000,23.077,5.000,11.890,35.073,23.077,12.986,50.820,16.000,6.000,88.998,51.891,2.857,148.261,16.000,0.000,4.000,368
HumanEval_21,humaneval,pass,1,magic_number,1,magic_number,1,10.000,4.000,84.434,68.532,3.333,228.441,2.000,30.000,6.000,32.029,56.597,47.619,43.055,70.370,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,266
HumanEval_22,humaneval,pass,0,,0,,0,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,45.788,68.385,70.000,57.311,100.000,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,105
HumanEval_23,humaneval,pass,0,,0,,0,4.000,2.000,98.978,2.000,0.500,1.000,1.000,0.000,3.000,15.415,53.050,33.333,52.556,48.276,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,66
HumanEval_24,humaneval,pass,0,,0,,0,6.000,4.000,89.260,46.507,4.500,209.281,4.000,16.667,1.000,42.874,60.442,70.968,47.620,70.968,4.000,3.000,100.000,15.510,1.000,15.510,3.000,0.000,2.000,229
HumanEval_25,humaneval,pass,0,,0,,0,14.000,5.000,88.794,88.811,9.333,828.898,5.000,0.000,2.000,33.740,44.465,40.580,42.090,80.519,14.000,4.000,89.335,77.709,6.000,466.255,5.000,0.000,3.000,208
HumanEval_26,humaneval,fail,0,,0,,0,9.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,3.000,4.052,25.713,22.222,18.810,37.838,5.000,3.000,100.000,4.755,0.500,2.377,0.000,0.000,1.000,114
HumanEval_27,humaneval,pass,0,,0,,0,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,15.845,63.566,36.364,45.268,58.333,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,60
HumanEval_28,humaneval,pass,0,,0,,0,8.000,3.000,99.836,11.610,1.000,11.610,2.000,0.000,0.000,4.238,37.203,25.000,33.702,17.647,3.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,84
HumanEval_29,humaneval,pass,1,inefficient_loop,1,inefficient_loop,0,7.000,3.000,100.000,0.000,0.000,0.000,3.000,71.429,2.000,14.776,49.811,44.444,23.593,59.574,3.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,196
HumanEval_30,humaneval,pass,1,inefficient_loop,1,inefficient_loop,0,7.000,3.000,87.307,4.755,0.500,2.377,3.000,71.429,1.000,4.626,22.155,40.000,18.090,55.814,2.000,3.000,71.799,4.755,0.500,2.377,0.000,0.000,0.000,157
HumanEval_31,humaneval,pass,1,magic_number,1,magic_number,0,7.000,4.000,59.688,55.507,3.125,173.458,4.000,42.857,2.000,58.334,79.416,83.721,61.335,89.474,7.000,4.000,68.815,39.863,2.667,106.302,4.000,0.000,1.000,192
HumanEval_32,humaneval,fail,2,dead_code;magic_number,2,dead_code;magic_number,0,18.000,9.000,81.950,139.316,3.889,541.783,5.000,5.556,8.000,100.000,100.000,100.000,100.000,100.000,15.000,6.000,82.771,156.080,4.312,673.095,5.000,0.000,4.000,423
HumanEval_33,humaneval,pass,0,,0,,0,6.000,4.000,77.337,25.266,2.250,56.849,1.000,50.000,3.000,4.019,18.755,22.222,20.480,44.000,4.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,224
HumanEval_34,humaneval,pass,0,,0,,0,5.000,1.000,100.000,0.000,0.000,0.000,0.000,40.000,3.000,21.224,51.861,33.333,42.442,66.667,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,180
HumanEval_35,humaneval,pass,0,,0,,0,8.000,4.000,87.793,11.610,1.000,11.610,4.000,0.000,1.000,13.924,30.820,33.333,39.296,80.556,6.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,168
HumanEval_36,humaneval,pass,0,,0,,3,9.000,4.000,90.435,68.532,2.400,164.478,4.000,44.444,5.000,33.768,38.748,56.140,29.912,70.312,10.000,5.000,91.217,84.000,2.333,196.000,5.000,0.000,5.000,191
HumanEval_37,humaneval,pass,0,,0,,0,11.000,4.000,94.460,15.510,1.000,15.510,4.000,27.273,5.000,11.950,31.262,25.352,20.155,64.286,10.000,3.000,95.922,11.610,1.000,11.610,2.000,0.000,5.000,218
HumanEval_38,humaneval,fail,1,magic_number,1,magic_number,0,8.000,7.000,79.103,106.274,3.542,376.387,1.000,62.500,4.000,100.000,100.000,100.000,100.000,100.000,6.000,5.000,84.320,77.709,3.111,241.762,1.000,33.333,5.000,231
HumanEval_39,humaneval,fail,1,magic_number,0,,5,23.000,3.000,81.364,210.996,4.261,899.028,14.000,4.348,7.000,30.170,50.538,48.819,37.780,74.790,16.000,4.000,85.643,135.934,4.615,627.386,16.000,0.000,6.000,314
HumanEval_40,humaneval,pass,0,,0,,0,15.000,5.000,77.112,120.000,3.333,400.000,9.000,40.000,3.000,27.854,40.620,43.038,28.258,66.667,7.000,5.000,70.781,51.891,1.111,57.657,10.000,0.000,2.000,334
HumanEval_41,humaneval,pass,0,,0,,0,4.000,3.000,60.900,34.869,2.800,97.634,2.000,50.000,2.000,4.971,24.415,18.182,30.239,27.027,2.000,1.000,55.568,4.755,0.500,2.377,0.000,0.000,0.000,197
HumanEval_42,humaneval,pass,0,,0,,2,9.000,4.000,85.709,24.000,1.500,36.000,2.000,66.667,5.000,6.062,26.328,30.303,29.204,44.828,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,0.000,248
HumanEval_43,humaneval,pass,0,,0,,0,7.000,3.000,75.603,11.610,1.000,11.610,3.000,0.000,2.000,5.561,31.479,40.000,17.524,50.000,6.000,4.000,67.079,27.000,1.000,27.000,6.000,0.000,3.000,187
HumanEval_44,humaneval,pass,1,magic_number,1,magic_number,0,9.000,3.000,84.672,72.340,4.500,325.529,2.000,0.000,2.000,25.628,54.734,38.095,41.564,69.565,6.000,2.000,83.384,38.039,3.200,121.725,1.000,0.000,1.000,183
HumanEval_45,humaneval,pass,0,,0,,0,4.000,3.000,68.538,49.829,2.143,106.776,2.000,0.000,1.000,4.797,18.668,23.077,31.782,45.000,2.000,1.000,87.251,15.510,1.000,15.510,0.000,0.000,0.000,125
HumanEval_46,humaneval,pass,0,,0,,0,9.000,6.000,78.205,123.190,3.393,417.966,5.000,33.333,3.000,22.151,26.043,25.882,19.056,46.632,8.000,3.000,76.326,95.184,2.045,194.694,2.000,0.000,3.000,403
HumanEval_47,humaneval,pass,0,,0,,0,10.000,3.000,91.609,104.000,6.611,687.556,3.000,0.000,3.000,42.691,49.888,58.462,37.277,78.571,6.000,2.000,92.993,98.099,4.364,428.069,2.000,0.000,2.000,170
HumanEval_48,humaneval,pass,0,,0,,0,3.000,1.000,50.219,11.610,1.000,11.610,0.000,66.667,2.000,4.212,23.235,34.483,25.633,38.235,5.000,3.000,74.592,27.000,1.000,27.000,3.000,0.000,2.000,120
HumanEval_49,humaneval,fail,0,,0,,0,15.000,7.000,85.385,162.848,8.846,1440.580,8.000,0.000,4.000,1.829,19.756,14.706,20.068,28.800,5.000,2.000,72.420,15.510,1.000,15.510,1.000,0.000,1.000,235
HumanEval_50,humaneval,pass,1,duplicate_code,0,,0,12.000,8.000,87.669,161.666,2.500,404.165,4.000,0.000,6.000,48.181,72.116,56.604,79.329,72.381,4.000,4.000,85.161,101.950,1.500,152.925,0.000,0.000,3.000,201
HumanEval_51,humaneval,pass,1,inefficient_loop,1,inefficient_loop,0,7.000,3.000,62.507,4.755,0.500,2.377,3.000,85.714,3.000,38.036,60.758,35.000,24.161,43.836,2.000,3.000,67.731,4.755,0.500,2.377,0.000,0.000,2.000,248
HumanEval_52,humaneval,pass,0,,0,,0,10.000,7.000,85.988,36.000,1.167,42.000,4.000,50.000,3.000,1.036,11.968,16.901,22.666,26.263,5.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,0.000,235
HumanEval_53,humaneval,pass,0,,0,,0,4.000,3.000,57.476,31.699,1.500,47.549,2.000,0.000,2.000,7.772,26.440,26.087,70.028,38.095,2.000,1.000,72.068,4.755,0.500,2.377,0.000,0.000,0.000,129
HumanEval_54,humaneval,pass,0,,0,,0,4.000,1.000,75.952,4.755,0.500,2.377,0.000,50.000,2.000,29.967,70.857,62.500,75.873,58.333,2.000,1.000,68.000,4.755,0.500,2.377,0.000,0.000,1.000,212
HumanEval_55,humaneval,pass,0,,0,,0,11.000,6.000,88.205,74.009,4.062,300.661,5.000,27.273,3.000,19.607,43.125,36.066,48.722,47.458,6.000,3.000,89.327,47.549,2.500,118.872,3.000,0.000,1.000,233
HumanEval_56,humaneval,pass,1,magic_number,1,magic_number,4,13.000,6.000,81.995,62.907,2.444,153.774,8.000,38.462,5.000,19.977,38.847,40.000,15.491,45.361,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,209
HumanEval_57,humaneval,pass,1,magic_number,1,magic_number,3,19.000,10.000,82.933,211.524,5.800,1226.837,11.000,31.579,4.000,3.643,27.288,21.918,27.976,24.691,4.000,3.000,80.659,25.266,1.200,30.319,2.000,0.000,1.000,286
HumanEval_58,humaneval,pass,0,,0,,0,7.000,1.000,100.000,0.000,0.000,0.000,0.000,42.857,4.000,9.899,31.340,21.739,17.328,75.610,7.000,4.000,100.000,4.755,0.500,2.377,6.000,0.000,4.000,177
HumanEval_59,humaneval,fail,1,magic_number,1,magic_number,0,16.000,6.000,86.891,113.300,8.312,941.805,6.000,31.250,4.000,15.647,36.259,32.323,22.145,40.909,13.000,4.000,89.249,101.950,3.692,376.432,15.000,0.000,3.000,247
HumanEval_60,humaneval,pass,0,,0,,0,4.000,3.000,72.647,64.725,4.125,266.991,2.000,0.000,2.000,10.795,25.696,21.429,31.440,48.980,2.000,1.000,57.383,4.755,0.500,2.377,0.000,0.000,2.000,138
HumanEval_61,humaneval,pass,1,magic_number,1,magic_number,4,13.000,6.000,81.995,62.907,2.444,153.774,8.000,38.462,5.000,19.766,38.673,40.000,15.491,45.361,10.000,4.000,89.094,47.549,4.000,190.196,6.000,0.000,0.000,208
HumanEval_62,humaneval,fail,2,inefficient_loop;magic_number,2,inefficient_loop;magic_number,0,8.000,4.000,71.111,38.054,2.000,76.107,3.000,50.000,4.000,4.702,20.742,19.048,18.699,24.390,2.000,2.000,57.211,4.755,0.500,2.377,0.000,0.000,1.000,253
HumanEval_63,humaneval,pass,0,,0,,0,9.000,6.000,74.004,106.274,3.542,376.387,5.000,33.333,3.000,15.262,27.472,30.556,35.934,35.616,8.000,4.000,79.123,86.039,2.667,229.438,4.000,0.000,1.000,270
HumanEval_64,humaneval,pass,1,magic_number,1,magic_number,11,22.000,4.000,84.537,23.265,1.500,34.897,4.000,68.182,4.000,8.351,21.682,36.735,19.248,69.388,9.000,4.000,90.574,74.231,3.000,222.693,2.000,0.000,1.000,382
HumanEval_65,humaneval,fail,0,,0,,4,14.000,3.000,78.523,89.924,3.818,343.347,3.000,78.571,4.000,10.362,35.036,23.529,33.322,53.061,6.000,2.000,87.025,48.432,2.571,124.540,2.000,0.000,2.000,343
HumanEval_66,humaneval,pass,0,,0,,0,6.000,3.000,69.410,4.755,0.500,2.377,3.000,83.333,2.000,37.466,51.131,35.294,31.169,50.847,3.000,4.000,57.973,4.755,0.500,2.377,2.000,0.000,3.000,201
HumanEval_67,humaneval,fail,1,magic_number,1,magic_number,0,13.000,5.000,82.149,62.510,2.500,156.276,4.000,38.462,5.000,5.246,22.565,15.625,26.223,35.971,6.000,3.000,82.551,4.755,0.500,2.377,3.000,0.000,6.000,362
HumanEval_68,humaneval,pass,0,,0,,4,17.000,6.000,66.876,85.837,3.545,304.330,6.000,29.412,4.000,19.608,35.594,30.769,28.062,57.746,5.000,3.000,38.630,38.039,1.143,43.473,2.000,0.000,5.000,531
HumanEval_69,humaneval,pass,0,,0,,0,8.000,4.000,73.834,36.541,2.333,85.263,4.000,75.000,3.000,7.021,21.215,23.077,20.692,63.934,9.000,4.000,89.758,48.432,2.571,124.540,4.000,0.000,3.000,288
HumanEval_70,humaneval,pass,0,,0,,0,11.000,4.000,91.335,2.000,0.500,1.000,4.000,36.364,4.000,26.472,42.825,40.741,24.569,52.800,7.000,3.000,94.386,8.000,1.000,8.000,3.000,0.000,4.000,218
HumanEval_71,humaneval,pass,0,,0,,0,7.000,4.000,69.230,239.722,6.263,1501.419,2.000,57.143,2.000,86.170,80.635,88.235,79.844,92.228,7.000,4.000,80.868,262.331,6.857,1798.841,2.000,0.000,1.000,243
HumanEval_72,humaneval,pass,0,,0,,4,11.000,4.000,69.554,60.918,3.750,228.441,3.000,81.818,4.000,21.162,41.733,43.137,17.494,43.478,10.000,4.000,84.521,66.608,3.750,249.780,4.000,0.000,2.000,351
HumanEval_73,humaneval,pass,0,,0,,0,10.000,3.000,91.305,62.270,3.429,213.496,3.000,0.000,1.000,27.483,39.050,40.000,29.200,66.071,6.000,3.000,85.550,55.507,2.222,123.348,3.000,0.000,2.000,215
HumanEval_74,humaneval,pass,0,,0,,5,16.000,7.000,83.370,43.185,2.667,115.160,5.000,56.250,6.000,4.576,37.102,28.571,24.188,47.761,11.000,4.000,91.993,23.265,1.500,34.897,4.000,0.000,1.000,442
HumanEval_75,humaneval,pass,1,magic_number,1,magic_number,0,15.000,6.000,84.954,156.000,7.800,1216.800,6.000,40.000,3.000,9.364,23.977,24.561,14.776,37.634,14.000,8.000,86.567,85.837,2.000,171.673,27.000,0.000,2.000,271
HumanEval_76,humaneval,fail,0,,0,,0,5.000,2.000,72.309,59.795,2.571,153.758,1.000,60.000,1.000,51.540,54.330,66.667,46.971,75.949,7.000,3.000,83.659,42.110,3.750,157.914,2.000,0.000,0.000,257
HumanEval_77,humaneval,pass,0,,0,,6,10.000,1.000,77.802,48.432,2.571,124.540,0.000,100.000,4.000,53.351,55.770,69.231,45.494,81.250,3.000,1.000,51.023,38.039,2.000,76.078,0.000,0.000,3.000,204
HumanEval_78,humaneval,fail,0,,0,,0,7.000,3.000,54.705,15.510,1.000,15.510,3.000,85.714,1.000,30.152,43.038,51.852,39.356,84.706,7.000,3.000,69.004,15.510,1.000,15.510,3.000,0.000,2.000,431
HumanEval_79,humaneval,fail,1,magic_number,0,,6,17.000,3.000,85.626,108.048,2.000,216.096,2.000,17.647,5.000,10.723,29.048,18.605,41.606,35.294,2.000,1.000,51.391,12.000,0.667,8.000,0.000,0.000,1.000,376
HumanEval_80,humaneval,pass,1,magic_number,1,magic_number,0,7.000,6.000,70.730,133.980,3.500,468.929,5.000,28.571,2.000,100.000,100.000,97.222,93.137,80.460,7.000,6.000,79.735,133.980,3.500,468.929,5.000,0.000,2.000,214
HumanEval_81,humaneval,fail,0,,0,,0,12.000,7.000,66.541,46.605,2.000,93.209,3.000,33.333,5.000,7.623,24.957,41.206,34.878,16.842,30.000,14.000,79.179,140.648,1.846,259.658,15.000,0.000,1.000,510
HumanEval_82,humaneval,pass,1,magic_number,1,magic_number,0,15.000,7.000,83.820,87.569,4.167,364.872,7.000,46.667,4.000,32.894,62.369,52.941,53.834,72.000,8.000,5.000,92.268,49.829,2.143,106.776,5.000,0.000,2.000,261
HumanEval_83,humaneval,fail,0,,0,,0,5.000,2.000,65.754,39.863,2.667,106.302,2.000,100.000,0.000,48.821,56.069,66.667,58.504,90.476,3.000,2.000,93.062,41.513,2.286,94.887,1.000,0.000,0.000,197
HumanEval_84,humaneval,pass,1,magic_number,1,magic_number,0,5.000,5.000,71.555,41.513,2.286,94.887,2.000,0.000,6.000,21.345,39.745,26.923,36.528,57.143,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,217
HumanEval_85,humaneval,pass,0,,0,,0,8.000,5.000,94.926,66.417,2.750,182.647,5.000,12.500,4.000,35.349,53.463,49.123,47.193,58.491,2.000,3.000,86.982,15.510,1.000,15.510,0.000,0.000,3.000,145
HumanEval_86,humaneval,fail,0,,0,,0,5.000,2.000,100.000,0.000,0.000,0.000,0.000,60.000,3.000,25.300,39.258,21.429,16.182,50.794,2.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,192
