task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
long_method_basic_001,,basic,E-commerce,Recommend,long_method,0,,0,,0,4,2,12,34.000,6.000,84.466,57.110,2.500,142.776,2.000,41.176,9.000,558
long_method_basic_002,,basic,Finance,Analyze,long_method,1,magic_number,1,magic_number,0,5,0,8,39.000,18.000,63.024,84.000,2.000,168.000,9.000,5.128,15.000,585
long_method_basic_003,,basic,Healthcare,Report,long_method,0,,0,,0,,,,,,,,,,,,,477
long_method_basic_004,,basic,Scientific Computing,Measure,long_method,1,dead_code,1,dead_code,0,1,0,28,40.000,1.000,82.460,15.510,1.000,15.510,0.000,27.500,23.000,783
long_method_basic_005,,basic,General Software,Measure,long_method,0,,0,,0,7,4,9,32.000,13.000,83.996,33.000,2.100,69.300,2.000,34.375,5.000,552
long_method_basic_006,,basic,E-commerce,Write,long_method,0,,0,,7,7,0,5,45.000,19.000,55.607,135.707,2.105,285.699,15.000,2.222,9.000,812
long_method_basic_007,,basic,Finance,Recommend,long_method,0,,0,,0,1,0,8,11.000,3.000,98.565,11.610,1.000,11.610,2.000,63.636,7.000,426
long_method_intermediate_001,,intermediate,Healthcare,Implement,long_method,0,,0,,2,1,0,2,20.000,3.000,91.642,15.510,1.000,15.510,3.000,45.000,13.000,509
long_method_intermediate_002,,intermediate,Scientific Computing,Design,long_method,1,magic_number,1,magic_number,9,8,0,5,47.000,16.000,46.534,137.549,4.118,566.378,9.000,0.000,10.000,667
long_method_intermediate_003,,intermediate,General Software,Analyze,long_method,1,dead_code,1,dead_code,0,8,7,8,25.000,9.000,96.362,2.000,0.500,1.000,1.000,56.000,7.000,488
long_method_intermediate_004,,intermediate,E-commerce,Recommend,long_method,1,dead_code,1,dead_code,0,6,5,5,26.000,8.000,95.699,2.000,0.500,1.000,3.000,50.000,9.000,560
long_method_intermediate_005,,intermediate,Finance,Measure,long_method,0,,0,,0,1,0,2,9.000,3.000,99.205,18.095,1.000,18.095,3.000,55.556,5.000,373
long_method_intermediate_006,,intermediate,Healthcare,Design,long_method,0,,0,,0,7,6,14,37.000,13.000,88.441,6.340,0.500,3.170,6.000,54.054,8.000,737
long_method_intermediate_007,,intermediate,Scientific Computing,Implement,long_method,0,,0,,2,1,0,2,20.000,3.000,91.642,15.510,1.000,15.510,3.000,45.000,13.000,509
long_method_advanced_001,,advanced,General Software,Implement,long_method,0,,0,,0,,,,76.000,,,,,,,2.632,,1024
long_method_advanced_002,,advanced,E-commerce,Evaluate,long_method,0,,0,,11,10,7,3,43.000,15.000,72.843,55.507,2.222,123.348,7.000,18.605,10.000,628
long_method_advanced_003,,advanced,Finance,Write,long_method,0,,0,,1,1,0,8,18.000,2.000,100.000,0.000,0.000,0.000,1.000,55.556,11.000,510
long_method_advanced_004,,advanced,Healthcare,Report,long_method,0,,0,,7,8,2,5,34.000,12.000,71.972,27.000,1.800,48.600,5.000,8.824,8.000,564
long_method_advanced_005,,advanced,Scientific Computing,List,long_method,0,,0,,0,10,9,9,32.000,14.000,88.124,12.000,0.500,6.000,4.000,53.125,9.000,606
long_method_advanced_006,,advanced,General Software,Compare,long_method,1,dead_code,1,dead_code,0,9,0,7,52.000,22.000,45.997,96.000,0.533,51.200,16.000,0.000,12.000,913
long_parameter_list_basic_001,,basic,E-commerce,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,17.000,1.000,100.000,0.000,0.000,0.000,0.000,11.765,0.000,328
long_parameter_list_basic_002,,basic,Finance,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,14,25.000,4.000,100.000,0.000,0.000,0.000,3.000,12.000,15.000,590
long_parameter_list_basic_003,,basic,Healthcare,Report,long_parameter_list,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,1,0,7,27.000,8.000,75.766,302.608,3.143,951.052,12.000,25.926,0.000,469
long_parameter_list_basic_004,,basic,Scientific Computing,Analyze,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,7,23.000,2.000,91.283,53.774,2.500,134.436,0.000,26.087,2.000,464
long_parameter_list_basic_005,,basic,General Software,Evaluate,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,5,21.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,435
long_parameter_list_basic_006,,basic,E-commerce,Implement,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,3,16.000,1.000,100.000,0.000,0.000,0.000,0.000,25.000,1.000,351
long_parameter_list_basic_007,,basic,Finance,Recommend,long_parameter_list,3,dead_code;long_parameter_list;magic_number,3,dead_code;long_parameter_list;magic_number,0,4,0,13,28.000,7.000,89.131,12.000,0.667,8.000,7.000,53.571,10.000,606
long_parameter_list_intermediate_001,,intermediate,Healthcare,Compare,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,2,0,15,39.000,7.000,100.000,0.000,0.000,0.000,3.000,25.641,3.000,726
long_parameter_list_intermediate_002,,intermediate,Scientific Computing,Implement,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,16,17.000,1.000,100.000,0.000,0.000,0.000,0.000,23.529,1.000,471
long_parameter_list_intermediate_003,,intermediate,General Software,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,2,0,16,20.000,4.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,611
long_parameter_list_intermediate_004,,intermediate,E-commerce,Design,long_parameter_list,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,1,0,9,28.000,11.000,82.043,49.829,0.556,27.683,12.000,32.143,7.000,646
long_parameter_list_intermediate_005,,intermediate,Finance,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,4,40.000,1.000,100.000,0.000,0.000,0.000,0.000,25.000,2.000,709
long_parameter_list_intermediate_006,,intermediate,Healthcare,Measure,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,2,0,15,41.000,7.000,100.000,0.000,0.000,0.000,3.000,14.634,8.000,714
long_parameter_list_intermediate_007,,intermediate,Scientific Computing,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,16,17.000,1.000,100.000,0.000,0.000,0.000,0.000,23.529,1.000,471
long_parameter_list_advanced_001,,advanced,General Software,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,29.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,540
long_parameter_list_advanced_002,,advanced,E-commerce,Evaluate,long_parameter_list,1,duplicate_code,1,duplicate_code,0,,,,54.000,,,,,,,0.000,,1024
long_parameter_list_advanced_003,,advanced,Finance,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,25.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,497
long_parameter_list_advanced_004,,advanced,Healthcare,Report,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,24,25.000,1.000,100.000,0.000,0.000,0.000,0.000,4.000,1.000,545
