task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
long_method_basic_001,full,basic,E-commerce,Recommend,long_method,0,,0,,0,1,0,4,16.000,3.000,59.790,85.837,2.917,250.357,3.000,0.000,3.000,467
long_method_basic_002,full,basic,Finance,Analyze,long_method,1,magic_number,1,magic_number,1,4,0,8,38.000,13.000,70.013,58.810,1.000,58.810,10.000,10.526,12.000,565
long_method_basic_003,full,basic,Healthcare,Report,long_method,2,dead_code;magic_number,2,dead_code;magic_number,1,3,0,3,23.000,6.000,82.020,55.507,1.500,83.260,4.000,21.739,13.000,526
long_method_basic_004,full,basic,Scientific Computing,Measure,long_method,2,dead_code;magic_number,2,dead_code;magic_number,1,1,0,24,33.000,5.000,87.279,4.755,0.500,2.377,0.000,27.273,23.000,767
long_method_basic_005,full,basic,General Software,Measure,long_method,0,,0,,0,1,0,8,13.000,5.000,96.775,11.610,1.000,11.610,4.000,53.846,6.000,385
long_method_basic_006,full,basic,E-commerce,Write,long_method,0,,0,,5,7,0,3,38.000,14.000,49.626,105.416,3.200,337.330,9.000,0.000,9.000,641
long_method_basic_007,full,basic,Finance,Recommend,long_method,0,,0,,8,8,0,3,47.000,18.000,65.335,4.755,0.500,2.377,7.000,2.128,9.000,659
long_method_intermediate_001,full,intermediate,Healthcare,Implement,long_method,0,,0,,1,1,0,3,28.000,3.000,100.000,0.000,0.000,0.000,3.000,28.571,12.000,620
long_method_intermediate_002,full,intermediate,Scientific Computing,Design,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,9,0,5,53.000,16.000,68.502,173.065,4.800,830.711,7.000,16.981,3.000,749
long_method_intermediate_003,full,intermediate,General Software,Analyze,long_method,0,,0,,0,7,6,6,23.000,9.000,96.944,2.000,0.500,1.000,3.000,52.174,6.000,460
long_method_intermediate_004,full,intermediate,E-commerce,Recommend,long_method,1,dead_code,1,dead_code,0,8,4,4,25.000,13.000,100.000,0.000,0.000,0.000,1.000,20.000,1.000,525
long_method_intermediate_005,full,intermediate,Finance,Measure,long_method,0,,0,,0,1,0,2,9.000,3.000,99.205,18.095,1.000,18.095,3.000,55.556,5.000,374
long_method_intermediate_006,full,intermediate,Healthcare,Design,long_method,0,,0,,0,9,7,2,28.000,12.000,100.000,0.000,0.000,0.000,1.000,25.000,9.000,577
long_method_intermediate_007,full,intermediate,Scientific Computing,Implement,long_method,0,,0,,1,1,0,3,28.000,3.000,100.000,0.000,0.000,0.000,3.000,28.571,12.000,620
long_method_advanced_001,full,advanced,General Software,Implement,long_method,1,long_parameter_list,1,long_parameter_list,9,11,0,6,69.000,31.000,50.875,63.000,1.000,63.000,25.000,1.449,13.000,1015
long_method_advanced_002,full,advanced,E-commerce,Evaluate,long_method,0,,0,,12,9,3,3,47.000,18.000,59.909,189.461,3.391,642.521,11.000,6.383,12.000,654
long_method_advanced_003,full,advanced,Finance,Write,long_method,1,dead_code,1,dead_code,1,1,0,13,25.000,3.000,100.000,0.000,0.000,0.000,2.000,64.000,8.000,586
long_method_advanced_004,full,advanced,Healthcare,Report,long_method,0,,0,,7,8,2,5,34.000,12.000,74.166,27.000,1.800,48.600,5.000,11.765,8.000,557
long_method_advanced_005,full,advanced,Scientific Computing,List,long_method,1,magic_number,1,magic_number,0,10,6,9,39.000,20.000,71.739,121.014,2.250,272.281,7.000,20.513,9.000,622
long_method_advanced_006,full,advanced,General Software,Compare,long_method,1,magic_number,1,magic_number,0,9,4,6,38.000,15.000,71.480,43.020,2.000,86.039,11.000,10.526,5.000,626
long_parameter_list_basic_001,full,basic,E-commerce,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,17.000,1.000,100.000,0.000,0.000,0.000,0.000,11.765,0.000,302
long_parameter_list_basic_002,full,basic,Finance,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,22,33.000,2.000,100.000,0.000,0.000,0.000,1.000,18.182,16.000,654
long_parameter_list_basic_003,full,basic,Healthcare,Report,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,7,13.000,6.000,90.366,91.377,1.333,121.835,5.000,53.846,0.000,331
long_parameter_list_basic_004,full,basic,Scientific Computing,Analyze,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,2,16.000,1.000,100.000,0.000,0.000,0.000,0.000,25.000,0.000,437
long_parameter_list_basic_005,full,basic,General Software,Evaluate,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,6,30.000,9.000,72.866,134.672,2.000,269.344,1.000,3.333,2.000,521
long_parameter_list_basic_006,full,basic,E-commerce,Implement,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,3,16.000,1.000,100.000,0.000,0.000,0.000,0.000,25.000,1.000,351
long_parameter_list_basic_007,full,basic,Finance,Recommend,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,15,30.000,4.000,80.828,169.216,1.000,169.216,3.000,53.333,10.000,969
long_parameter_list_intermediate_001,full,intermediate,Healthcare,Compare,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,2,0,15,42.000,7.000,100.000,0.000,0.000,0.000,3.000,19.048,6.000,832
long_parameter_list_intermediate_002,full,intermediate,Scientific Computing,Implement,long_parameter_list,2,dead_code;long_parameter_list,2,dead_code;long_parameter_list,0,1,0,18,19.000,1.000,100.000,0.000,0.000,0.000,0.000,78.947,9.000,563
long_parameter_list_intermediate_003,full,intermediate,General Software,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,20.000,1.000,100.000,0.000,0.000,0.000,0.000,5.000,0.000,415
long_parameter_list_intermediate_004,full,intermediate,E-commerce,Design,long_parameter_list,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,1,0,11,38.000,18.000,72.624,210.000,3.231,678.462,23.000,28.947,12.000,973
long_parameter_list_intermediate_005,full,intermediate,Finance,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,12,91.000,7.000,100.000,0.000,0.000,0.000,6.000,14.286,11.000,4096
long_parameter_list_intermediate_006,full,intermediate,Healthcare,Measure,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,2,0,15,42.000,7.000,100.000,0.000,0.000,0.000,3.000,19.048,6.000,832
long_parameter_list_intermediate_007,full,intermediate,Scientific Computing,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,16,17.000,1.000,100.000,0.000,0.000,0.000,0.000,70.588,8.000,531
long_parameter_list_advanced_001,full,advanced,General Software,Recommend,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,29.000,1.000,100.000,0.000,0.000,0.000,0.000,6.897,0.000,537
long_parameter_list_advanced_002,full,advanced,E-commerce,Evaluate,long_parameter_list,1,duplicate_code,1,duplicate_code,0,,,,220.000,,,,,,,0.000,,4096
long_parameter_list_advanced_003,full,advanced,Finance,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,25.000,1.000,100.000,0.000,0.000,0.000,0.000,4.000,0.000,483
long_parameter_list_advanced_004,full,advanced,Healthcare,Report,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,28.000,1.000,100.000,0.000,0.000,0.000,0.000,7.143,0.000,528
long_parameter_list_advanced_005,full,advanced,Scientific Computing,Implement,long_parameter_list,1,duplicate_code,1,duplicate_code,0,,,,230.000,,,,,,,0.435,,4096
long_parameter_list_advanced_006,full,advanced,General Software,Evaluate,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,29.000,1.000,100.000,0.000,0.000,0.000,0.000,6.897,0.000,537
god_class_basic_001,full,basic,E-commerce,Implement,,2,dead_code;magic_number,2,dead_code;magic_number,0,8,0,1,92.000,24.000,38.564,171.176,1.500,256.764,31.000,0.000,12.000,1014
god_class_basic_002,full,basic,Finance,Measure,,0,,0,,0,8,3,1,17.000,10.000,100.000,0.000,0.000,0.000,0.000,58.824,1.000,369
god_class_basic_003,full,basic,Healthcare,List,,1,inefficient_loop,1,inefficient_loop,0,8,0,5,41.000,20.000,65.277,70.324,2.182,153.434,9.000,7.317,6.000,586
god_class_basic_004,full,basic,Scientific Computing,Analyze,,0,,0,,0,7,7,1,15.000,9.000,100.000,0.000,0.000,0.000,0.000,40.000,0.000,385
god_class_basic_005,full,basic,General Software,Measure,,0,,0,,0,15,1,1,48.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,9.000,845
god_class_basic_006,full,basic,E-commerce,Analyze,,1,dead_code,1,dead_code,0,9,0,4,48.000,16.000,50.242,38.054,2.000,76.107,11.000,0.000,15.000,818
god_class_basic_007,full,basic,Finance,List,,0,,0,,0,7,0,6,20.000,9.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,384
god_class_intermediate_001,full,intermediate,Healthcare,Compare,,1,dead_code,1,dead_code,0,11,0,4,34.000,15.000,62.327,2.000,0.500,1.000,4.000,0.000,15.000,562
god_class_intermediate_002,full,intermediate,Scientific Computing,Recommend,,0,,0,,0,19,0,9,47.000,21.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,711
god_class_intermediate_003,full,intermediate,General Software,Design,,0,,0,,0,9,0,5,46.000,27.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,506
god_class_intermediate_004,full,intermediate,E-commerce,Measure,,0,,0,,0,9,0,8,26.000,11.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,436
god_class_intermediate_005,full,intermediate,Finance,Compare,,0,,0,,0,10,0,9,29.000,12.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,484
god_class_intermediate_006,full,intermediate,Healthcare,Write,,1,dead_code,1,dead_code,0,12,2,3,35.000,17.000,75.689,2.000,0.500,1.000,5.000,5.714,13.000,618
god_class_intermediate_007,full,intermediate,Scientific Computing,Write,,0,,0,,0,19,0,9,47.000,21.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,711
god_class_advanced_001,full,advanced,General Software,Implement,,0,,0,,0,11,0,4,29.000,18.000,72.585,4.755,0.500,2.377,0.000,3.448,7.000,455
god_class_advanced_002,full,advanced,E-commerce,Design,,0,,0,,0,5,2,10,22.000,11.000,100.000,0.000,0.000,0.000,0.000,18.182,11.000,442
god_class_advanced_003,full,advanced,Finance,List,,0,,0,,4,4,0,10,28.000,10.000,70.438,41.513,1.500,62.270,5.000,7.143,5.000,548
god_class_advanced_004,full,advanced,Healthcare,Implement,,0,,0,,0,11,10,10,32.000,13.000,100.000,0.000,0.000,0.000,0.000,31.250,0.000,484
god_class_advanced_005,full,advanced,Scientific Computing,Analyze,,0,,0,,0,11,0,2,29.000,13.000,100.000,0.000,0.000,0.000,0.000,0.000,11.000,475
god_class_advanced_006,full,advanced,General Software,Write,,0,,0,,0,19,9,9,47.000,21.000,100.000,0.000,0.000,0.000,0.000,19.149,1.000,802
feature_envy_basic_001,full,basic,E-commerce,Compare,,0,,0,,0,2,0,2,11.000,4.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,346
feature_envy_basic_002,full,basic,Finance,Compare,,0,,0,,0,2,0,5,17.000,8.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,309
