task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
long_method_basic_001,emphatic,basic,E-commerce,Recommend,long_method,1,magic_number,1,magic_number,0,5,2,1,41.000,13.000,77.683,171.176,4.025,688.983,7.000,34.146,9.000,772
long_method_basic_002,emphatic,basic,Finance,Analyze,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,9,2,8,44.000,16.000,72.565,25.266,1.000,25.266,7.000,13.636,12.000,685
long_method_basic_003,emphatic,basic,Healthcare,Report,long_method,2,broad_except;magic_number,2,broad_except;magic_number,0,1,0,17,43.000,8.000,76.841,55.507,2.222,123.348,8.000,23.256,23.000,846
long_method_basic_004,emphatic,basic,Scientific Computing,Measure,long_method,1,dead_code,1,dead_code,0,1,0,24,35.000,1.000,85.897,4.755,0.500,2.377,0.000,22.857,22.000,697
long_method_basic_005,emphatic,basic,General Software,Measure,long_method,0,,0,,0,1,0,8,13.000,5.000,96.775,11.610,1.000,11.610,4.000,53.846,6.000,367
long_method_basic_006,emphatic,basic,E-commerce,Write,long_method,0,,0,,0,8,0,4,41.000,15.000,48.929,100.078,2.286,228.750,10.000,0.000,6.000,638
long_method_basic_007,emphatic,basic,Finance,Recommend,long_method,0,,0,,8,8,0,3,47.000,18.000,65.335,4.755,0.500,2.377,7.000,2.128,9.000,687
long_method_intermediate_001,emphatic,intermediate,Healthcare,Implement,long_method,0,,0,,2,1,0,7,36.000,6.000,85.382,27.000,1.000,27.000,7.000,38.889,12.000,731
long_method_intermediate_002,emphatic,intermediate,Scientific Computing,Design,long_method,0,,0,,0,8,2,6,27.000,12.000,82.074,73.574,3.273,240.789,3.000,37.037,2.000,553
long_method_intermediate_003,emphatic,intermediate,General Software,Analyze,long_method,0,,0,,0,7,5,8,27.000,9.000,91.906,6.340,0.500,3.170,2.000,51.852,9.000,594
long_method_intermediate_004,emphatic,intermediate,E-commerce,Recommend,long_method,1,magic_number,1,magic_number,0,1,0,2,22.000,10.000,82.620,68.114,2.000,136.229,18.000,31.818,8.000,595
long_method_intermediate_005,emphatic,intermediate,Finance,Measure,long_method,1,dead_code,1,dead_code,0,1,0,13,20.000,4.000,89.269,11.610,1.000,11.610,1.000,25.000,15.000,630
long_method_intermediate_006,emphatic,intermediate,Healthcare,Design,long_method,0,,0,,0,9,7,2,29.000,12.000,100.000,0.000,0.000,0.000,1.000,24.138,10.000,620
long_method_intermediate_007,emphatic,intermediate,Scientific Computing,Implement,long_method,0,,0,,2,1,0,7,36.000,6.000,85.382,27.000,1.000,27.000,7.000,38.889,12.000,731
long_method_advanced_001,emphatic,advanced,General Software,Implement,long_method,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,11,0,6,72.000,33.000,41.175,114.221,1.667,190.368,28.000,0.000,4.000,1098
long_method_advanced_002,emphatic,advanced,E-commerce,Evaluate,long_method,2,duplicate_code;magic_number,2,duplicate_code;magic_number,0,10,0,4,52.000,22.000,63.262,173.065,3.273,566.394,18.000,11.538,9.000,779
long_method_advanced_003,emphatic,advanced,Finance,Write,long_method,0,,0,,1,1,0,15,27.000,4.000,100.000,0.000,0.000,0.000,3.000,51.852,17.000,750
long_method_advanced_004,emphatic,advanced,Healthcare,Report,long_method,0,,0,,0,8,2,5,27.000,12.000,75.902,27.000,1.800,48.600,5.000,11.111,1.000,507
long_method_advanced_005,emphatic,advanced,Scientific Computing,List,long_method,1,magic_number,1,magic_number,0,6,0,9,35.000,21.000,78.951,30.000,1.000,30.000,5.000,22.857,5.000,568
long_method_advanced_006,emphatic,advanced,General Software,Compare,long_method,2,long_parameter_list;magic_number,2,long_parameter_list;magic_number,0,1,0,6,18.000,4.000,93.600,12.000,0.667,8.000,4.000,50.000,7.000,434
long_parameter_list_basic_001,emphatic,basic,E-commerce,List,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,3,20.000,1.000,100.000,0.000,0.000,0.000,0.000,10.000,4.000,359
long_parameter_list_basic_002,emphatic,basic,Finance,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,22,33.000,2.000,100.000,0.000,0.000,0.000,1.000,18.182,16.000,656
long_parameter_list_basic_003,emphatic,basic,Healthcare,Report,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,1,9.000,1.000,100.000,4.755,0.500,2.377,0.000,33.333,0.000,323
long_parameter_list_basic_004,emphatic,basic,Scientific Computing,Analyze,long_parameter_list,2,complex_conditional;long_parameter_list,2,complex_conditional;long_parameter_list,0,1,0,9,30.000,23.000,77.007,440.221,2.087,918.722,9.000,30.000,4.000,725
long_parameter_list_basic_005,emphatic,basic,General Software,Evaluate,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,5,21.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,438
long_parameter_list_basic_006,emphatic,basic,E-commerce,Implement,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,15.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,339
long_parameter_list_basic_007,emphatic,basic,Finance,Recommend,long_parameter_list,3,dead_code;long_parameter_list;magic_number,3,dead_code;long_parameter_list;magic_number,0,1,0,3,29.000,10.000,82.172,51.891,1.111,57.657,18.000,34.483,12.000,628
long_parameter_list_intermediate_001,emphatic,intermediate,Healthcare,Compare,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,6,26.000,2.000,100.000,0.000,0.000,0.000,1.000,19.231,6.000,530
long_parameter_list_intermediate_002,emphatic,intermediate,Scientific Computing,Implement,long_parameter_list,2,complex_conditional;long_parameter_list,2,complex_conditional;long_parameter_list,0,1,0,9,34.000,25.000,78.472,417.645,1.500,626.468,10.000,35.294,3.000,979
long_parameter_list_intermediate_003,emphatic,intermediate,General Software,Design,long_parameter_list,1,long_parameter_list,1,long_parameter_list,0,1,0,2,20.000,1.000,100.000,0.000,0.000,0.000,0.000,5.000,0.000,398
long_parameter_list_intermediate_004,emphatic,intermediate,E-commerce,Design,long_parameter_list,3,dead_code;long_parameter_list;magic_number,3,dead_code;long_parameter_list;magic_number,0,1,0,12,41.000,21.000,70.823,237.801,2.370,563.677,21.000,26.829,16.000,864
