task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
long_method_basic_001,,basic,E-commerce,Recommend,long_method,1,dead_code,1,dead_code,0,8,7,8,25.000,9.000,96.362,2.000,0.500,1.000,1.000,56.000,7.000,250
long_method_basic_002,,basic,Finance,Analyze,long_method,2,dead_code;magic_number,2,dead_code;magic_number,3,7,0,14,39.000,17.000,65.125,148.603,3.316,492.738,6.000,10.256,19.000,455
long_method_basic_003,,basic,Healthcare,Report,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,5,2,4,39.000,13.000,73.929,99.404,3.214,319.514,11.000,20.513,12.000,399
long_method_basic_004,,basic,Scientific Computing,Measure,long_method,1,dead_code,1,dead_code,0,1,0,41,49.000,5.000,82.335,4.755,0.500,2.377,0.000,24.490,29.000,622
long_method_basic_005,,basic,General Software,Measure,long_method,0,,0,,0,1,0,10,13.000,3.000,95.037,22.459,1.875,42.110,2.000,53.846,7.000,151
long_method_basic_006,,basic,E-commerce,Write,long_method,1,magic_number,1,magic_number,0,7,0,3,57.000,22.000,51.806,171.176,3.429,586.889,23.000,1.754,5.000,547
long_method_basic_007,,basic,Finance,Recommend,long_method,0,,0,,0,8,4,1,24.000,9.000,100.000,0.000,0.000,0.000,2.000,62.500,8.000,290
long_method_intermediate_001,,intermediate,Healthcare,Implement,long_method,0,,0,,0,6,0,4,28.000,7.000,100.000,0.000,0.000,0.000,1.000,64.286,16.000,443
long_method_intermediate_002,,intermediate,Scientific Computing,Design,long_method,1,dead_code,1,dead_code,0,1,0,9,12.000,3.000,95.191,25.850,1.500,38.774,2.000,66.667,8.000,351
long_method_intermediate_003,,intermediate,General Software,Analyze,long_method,1,dead_code,1,dead_code,0,1,0,13,22.000,7.000,85.988,33.688,0.500,16.844,6.000,31.818,7.000,219
long_method_intermediate_004,,intermediate,E-commerce,Recommend,long_method,1,dead_code,1,dead_code,0,7,6,6,22.000,7.000,100.000,0.000,0.000,0.000,0.000,54.545,6.000,223
