task_id,system_mode,complexity,domain,action_keyword,intended,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,n_functions,n_stub,longest_body,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,n_output_tokens
long_method_basic_001,full,basic,E-commerce,Recommend,long_method,1,magic_number,1,magic_number,0,8,0,9,51.000,23.000,67.586,251.335,3.750,942.506,14.000,19.608,15.000,593
long_method_basic_002,full,basic,Finance,Analyze,long_method,1,magic_number,1,magic_number,0,8,4,9,41.000,16.000,78.239,41.209,1.000,41.209,6.000,24.390,17.000,418
long_method_basic_003,full,basic,Healthcare,Report,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,5,2,4,40.000,13.000,73.477,99.404,3.214,319.514,11.000,20.000,12.000,413
long_method_basic_004,full,basic,Scientific Computing,Measure,long_method,1,dead_code,1,dead_code,0,1,0,40,49.000,5.000,100.000,0.000,0.000,0.000,0.000,18.367,31.000,593
long_method_basic_005,full,basic,General Software,Measure,long_method,0,,0,,0,7,6,8,23.000,9.000,91.673,11.610,1.000,11.610,2.000,56.522,6.000,240
long_method_basic_006,full,basic,E-commerce,Write,long_method,0,,0,,0,7,0,4,45.000,13.000,63.194,68.532,3.333,228.441,9.000,4.444,5.000,483
long_method_basic_007,full,basic,Finance,Recommend,long_method,1,magic_number,1,magic_number,0,7,0,8,32.000,11.000,80.800,13.932,0.500,6.966,3.000,18.750,8.000,310
long_method_intermediate_001,full,intermediate,Healthcare,Implement,long_method,1,magic_number,1,magic_number,0,7,0,14,47.000,15.000,83.634,4.755,0.500,2.377,7.000,29.787,17.000,551
long_method_intermediate_002,full,intermediate,Scientific Computing,Design,long_method,1,magic_number,1,magic_number,0,9,0,6,48.000,20.000,71.315,135.707,2.778,376.963,10.000,20.833,7.000,482
long_method_intermediate_003,full,intermediate,General Software,Analyze,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,8,0,8,33.000,12.000,83.195,43.185,1.714,74.032,5.000,48.485,10.000,449
long_method_intermediate_004,full,intermediate,E-commerce,Recommend,long_method,2,dead_code;magic_number,2,dead_code;magic_number,0,6,0,4,22.000,6.000,86.377,27.000,1.000,27.000,0.000,27.273,7.000,291
long_method_intermediate_005,full,intermediate,Finance,Measure,long_method,0,,0,,2,1,0,13,20.000,4.000,87.244,30.000,1.800,54.000,1.000,30.000,14.000,269
long_method_intermediate_006,full,intermediate,Healthcare,Design,long_method,1,dead_code,1,dead_code,0,7,6,2,18.000,8.000,98.954,2.000,0.500,1.000,1.000,72.222,2.000,249
long_method_intermediate_007,full,intermediate,Scientific Computing,Implement,long_method,1,magic_number,1,magic_number,0,7,0,14,47.000,15.000,83.634,4.755,0.500,2.377,7.000,29.787,17.000,551
long_method_advanced_001,full,advanced,General Software,Implement,long_method,0,,0,,0,9,0,8,25.000,9.000,100.000,0.000,0.000,0.000,0.000,64.000,9.000,373
long_method_advanced_002,full,advanced,E-commerce,Evaluate,long_method,0,,0,,0,,,,,,,,,,,,,765
long_method_advanced_003,full,advanced,Finance,Write,long_method,1,dead_code,1,dead_code,0,9,0,8,61.000,11.000,100.000,0.000,0.000,0.000,2.000,9.836,20.000,671
long_method_advanced_004,full,advanced,Healthcare,Report,long_method,1,dead_code,1,dead_code,10,7,0,4,48.000,7.000,73.411,70.324,1.500,105.486,0.000,16.667,17.000,660
long_method_advanced_005,full,advanced,Scientific Computing,List,long_method,0,,0,,0,,,,,,,,,,,,,4096
